epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,13666.2,0.72346,0.68812,1.14118,0.6836,0.60472,0.61833,0.42569,1.33582,1.36828,1.6679,0.000657983,0.000657983,0.000657983
111,13785.2,0.73484,0.68955,1.15415,0.64967,0.61225,0.62218,0.43396,1.34412,1.3702,1.69186,0.000650909,0.000650909,0.000650909
112,13886.5,0.74871,0.69392,1.15044,0.66044,0.61236,0.60981,0.42162,1.32864,1.37727,1.64523,0.000643836,0.000643836,0.000643836
113,13990.1,0.69854,0.65508,1.12503,0.65259,0.63025,0.62428,0.43186,1.34865,1.36876,1.66481,0.000636762,0.000636762,0.000636762
114,14102.4,0.72441,0.67503,1.13847,0.6725,0.59801,0.61867,0.4241,1.36968,1.43706,1.71764,0.000629689,0.000629689,0.000629689
115,14208.2,0.70822,0.66362,1.13324,0.65519,0.61557,0.61384,0.42501,1.35618,1.40915,1.71041,0.000622615,0.000622615,0.000622615
116,14312.3,0.71869,0.66808,1.13379,0.66712,0.60266,0.61113,0.42251,1.37447,1.42575,1.71773,0.000615542,0.000615542,0.000615542
117,14417.9,0.72751,0.68041,1.13891,0.66556,0.60117,0.60442,0.41311,1.40631,1.43184,1.72218,0.000608468,0.000608468,0.000608468
118,14563.6,0.69558,0.64296,1.13218,0.65056,0.60808,0.61302,0.42769,1.35243,1.3993,1.7015,0.000601395,0.000601395,0.000601395
119,14666.1,0.69564,0.65284,1.13277,0.67414,0.60999,0.6251,0.42984,1.36501,1.40295,1.68767,0.000594321,0.000594321,0.000594321
120,14783.4,0.70526,0.65469,1.12853,0.67885,0.60207,0.62705,0.43435,1.31701,1.37966,1.66487,0.000587248,0.000587248,0.000587248
